name,fq,group
SRR1528352,SRR1528352.fastq.gz,leaves-Mature
SRR1528353,SRR1528353.fastq.gz,leaves-Mature
SRR1528356,SRR1528356.fastq.gz,buds-After-Burst
SRR1528357,SRR1528357.fastq.gz,buds-After-Burst
SRR1528360,SRR1528360.fastq.gz,buds-Latent
SRR1528361,SRR1528361.fastq.gz,buds-Latent
SRR1528362,SRR1528362.fastq.gz,buds-Burst
SRR1528363,SRR1528363.fastq.gz,buds-Burst
SRR1528364,SRR1528364.fastq.gz,stem-Green
SRR1528365,SRR1528365.fastq.gz,stem-Green
SRR1528368,SRR1528368.fastq.gz,tendril-Young
SRR1528369,SRR1528369.fastq.gz,tendril-Young
SRR1528372,SRR1528372.fastq.gz,Inflorescences-Young
SRR1528373,SRR1528373.fastq.gz,Inflorescences-Young
SRR1528374,SRR1528374.fastq.gz,Inflorescences-Well-developed
SRR1528375,SRR1528375.fastq.gz,Inflorescences-Well-developed
SRR1528376,SRR1528376.fastq.gz,flowers-Beginning-of-flowering
SRR1528377,SRR1528377.fastq.gz,flowers-Beginning-of-flowering
SRR1528378,SRR1528378.fastq.gz,flowers-Flowering
SRR1528379,SRR1528379.fastq.gz,flowers-Flowering
SRR1528380,SRR1528380.fastq.gz,carpels
SRR1528381,SRR1528381.fastq.gz,carpels
SRR1528382,SRR1528382.fastq.gz,stamens
SRR1528383,SRR1528383.fastq.gz,stamens
SRR1528384,SRR1528384.fastq.gz,pollen
SRR1528385,SRR1528385.fastq.gz,pollen
SRR1528386,SRR1528386.fastq.gz,berries-Fruit-set
SRR1528387,SRR1528387.fastq.gz,berries-Fruit-set
SRR1528388,SRR1528388.fastq.gz,berries-Post-fruit-set
SRR1528389,SRR1528389.fastq.gz,berries-Post-fruit-set
SRR1528390,SRR1528390.fastq.gz,berries-Pre-veraison
SRR1528391,SRR1528391.fastq.gz,berries-Pre-veraison
SRR1528394,SRR1528394.fastq.gz,berries-Mid-ripening
SRR1528395,SRR1528395.fastq.gz,berries-Mid-ripening
SRR1528396,SRR1528396.fastq.gz,berries-Ripening
SRR1528397,SRR1528397.fastq.gz,berries-Ripening
SRR1528406,SRR1528406.fastq.gz,rachis-Post-fruit-set
SRR1528407,SRR1528407.fastq.gz,rachis-Post-fruit-set
SRR1528408,SRR1528408.fastq.gz,rachis-Veraison
SRR1528409,SRR1528409.fastq.gz,rachis-Veraison
